valid_15z_date,station_number,precip,latitude,longitude,station_name,source
2023-12-17,28004,55.2,-15.9999,144.0754,PALMERVILLE,aws
2023-12-17,30124,39.8,-18.3039,143.5306,GEORGETOWN AIRPORT,aws
2023-12-17,31209,191.8,-15.4461,145.1861,COOKTOWN AIRPORT,aws
2023-12-17,31213,36.4,-14.9672,145.3106,CAPE FLATTERY,aws
2023-12-17,31222,370.0,-16.9463,145.7474,CAIRNS RACECOURSE,aws
2023-12-17,32037,257.8,-17.6053,145.9972,SOUTH JOHNSTONE EXP STN,aws
2023-12-17,32194,165.4,-17.6905,146.1126,COWLEY BEACH (DEFENCE),aws
2023-12-17,32197,364.8,-17.5581,146.0119,INNISFAIL AERODROME,aws
2023-12-17,31188,316.0,-17.0039,145.4281,MAREEBA TM                    ,event
2023-12-17,32109,193.0,-18.1069,145.8053,UPPER MURRAY TM               ,event
2023-12-17,32142,25.0,-18.6822,145.75,WHITE CRYSTAL TM              ,event
2023-12-17,32152,291.0,-17.5475,145.9292,TUNG OIL TM                   ,event
2023-12-17,32155,266.0,-17.6094,145.9786,CENTRAL MILL TM               ,event
2023-12-17,32167,178.0,-17.9919,145.9425,EURAMO TM                     ,event
2023-12-17,527013,47.0,-16.0419,143.0367,DRUMDUFF TM                   ,event
2023-12-17,528001,91.0,-16.5347,143.6769,GAMBOOLA TM                   ,event
2023-12-17,528002,179.0,-15.2822,144.8378,BATTLE CAMP TM                ,event
2023-12-17,528003,30.0,-16.5469,143.7828,TRIMBLES CROSSING TM          ,event
2023-12-17,528004,141.0,-15.6133,144.4844,LAURA RIVER TM                ,event
2023-12-17,528005,91.0,-14.9186,144.21,KALPOWAR CROSSING TM          ,event
2023-12-17,528006,56.0,-16.4708,144.2894,OK BRIDGE TM                  ,event
2023-12-17,528007,2.0,-14.1675,143.3942,STEWART RIVER TM              ,event
2023-12-17,528008,33.0,-15.2267,143.8456,HANN RIVER TM                 ,event
2023-12-17,528009,32.0,-16.9822,144.2861,ROOKWOOD TM                   ,event
2023-12-17,530007,15.0,-18.5003,144.0958,EINASLEIGH TM                 ,event
2023-12-17,530008,28.0,-18.1333,144.3,MT SURPRISE TM                ,event
2023-12-17,530010,45.0,-18.3067,143.5789,ROSEGLEN TM                   ,event
2023-12-17,530013,3.0,-19.0292,144.1178,KIDSTON DAM TW TM             ,event
2023-12-17,530014,2.0,-19.0361,144.1217,KIDSTON DAM HW TM             ,event
2023-12-17,530034,154.0,-17.3042,145.5742,MT QUINCAN TM                 ,event
2023-12-17,531015,30.0,-17.6333,145.3,SILVER VALLEY TM              ,event
2023-12-17,531017,224.0,-17.1658,145.5425,TINAROO DAM TM                ,event
2023-12-17,531022,429.0,-17.3489,145.8725,THE BOULDERS TM               ,event
2023-12-17,531023,355.0,-17.1331,145.7625,PEETS BRIDGE TM               ,event
2023-12-17,531024,225.0,-17.3833,145.9667,BUCKLANDS TM                  ,event
2023-12-17,531025,52.0,-17.1814,144.8992,FLATROCK TM                   ,event
2023-12-17,531029,728.0,-16.1817,145.2808,BAIRDS TM                     ,event
2023-12-17,531031,160.0,-16.1092,144.7767,PALMER RIVER TM               ,event
2023-12-17,531046,227.0,-17.1853,145.7239,THE FISHERIES TM              ,event
2023-12-17,531060,31.0,-17.7356,145.4336,WOOROORA TM                   ,event
2023-12-17,531062,451.0,-15.6878,145.2086,BEESBIKE TM                   ,event
2023-12-17,531067,788.0,-16.3903,145.3381,WHYANBEEL CK TM               ,event
2023-12-17,531069,264.0,-15.4247,145.0653,FLAGGY TM                     ,event
2023-12-17,531078,15.0,-18.0669,145.34,CAMERON CREEK TM              ,event
2023-12-17,531080,134.0,-17.1783,145.3008,NULLINGA TM                   ,event
2023-12-17,531083,144.0,-16.4978,145.0017,MCLEOD RIVER TM               ,event
2023-12-17,531085,120.0,-17.7725,145.6503,TULLY GORGE TM                ,event
2023-12-17,531086,194.0,-16.6792,145.2286,FONTHILL TM                   ,event
2023-12-17,531091,237.0,-15.7681,145.0131,EAST NORMANBY RIVER TM        ,event
2023-12-17,531093,351.0,-17.1158,145.8378,ALOOMBA TM                    ,event
2023-12-17,531094,963.0,-16.638,145.5188,BLACK MT TM                   ,event
2023-12-17,531097,177.0,-17.2516,145.5037,MAUNDS RD TM                  ,event
2023-12-17,531101,64.0,-17.783,145.5189,CHALUMBIN TM                  ,event
2023-12-17,531108,321.0,-15.2969,145.0772,HOPEVALE BORE TM              ,event
2023-12-17,531109,146.0,-17.7462,145.5626,KOOLMOON TM                   ,event
2023-12-17,531111,23.0,-17.5988,145.138,CROOKS DAM HW TM              ,event
2023-12-17,531114,292.0,-17.063,145.8079,MORGAN RD GORDONVALE TM       ,event
2023-12-17,531115,189.0,-17.2201,145.4948,GRAHAM RD TM                  ,event
2023-12-17,531119,225.0,-15.7594,144.9759,WEST NORMANBY RIVER TM        ,event
2023-12-17,532006,81.0,-18.4889,145.9364,ABERGOWRIE TM                 ,event
2023-12-17,532010,78.0,-18.45,145.85,GOWRIE CREEK TM               ,event
2023-12-17,532012,106.0,-18.6347,146.1444,INGHAM PUMP STATION TM        ,event
2023-12-17,532066,15.0,-18.1919,145.3325,GLENEAGLE TM                  ,event
2023-12-17,532070,225.0,-17.5667,145.905,FISHER CK TM                  ,event
2023-12-17,532080,18.0,-18.2042,145.5372,BLENCOE FALLS TM              ,event
2023-12-17,532093,219.0,-17.7308,146.0069,SILKWOOD TM                   ,event
2023-12-17,532096,155.0,-18.2376,145.9482,SING'S FARM TM                ,event
2023-12-17,532097,208.0,-17.7186,146.0397,LOWER LIVERPOOL TM            ,event
2023-12-17,532098,230.0,-17.5858,146.0494,MOURILYAN BORE TM             ,event
2023-12-17,532099,166.0,-18.2236,145.9089,KENNEDY VALLEY TM             ,event
2023-12-17,532100,268.0,-17.6056,145.8661,UPPER FISHER CK TM            ,event
2023-12-17,532103,3.0,-18.6642,145.0925,VALLEY OF LAGOONS TM          ,event
2023-12-17,532127,2.0,-18.3106,145.129,GLEN DHU ROAD TM              ,event
2023-12-17,532128,3.0,-18.5153,144.8478,LAVA PLAINS TM                ,event
2023-12-17,532129,121.0,-18.06,145.9072,UPPER MURRAY RD TM            ,event
2023-12-17,31181,205.0,-17.545,145.7156,BARTLE VIEW ALERT             ,accum
2023-12-17,31182,99.0,-17.5875,145.5997,GREENHAVEN ALERT              ,accum
2023-12-17,31183,135.0,-17.3594,145.5922,MALANDA ALERT                 ,accum
2023-12-17,31184,101.0,-17.4442,145.5094,MCKELL ROAD ALERT             ,accum
2023-12-17,31185,101.0,-17.5175,145.6089,MILLAA MILLAA ALERT           ,accum
2023-12-17,31186,151.0,-17.6803,145.6603,SUTTIES CREEK ALERT           ,accum
2023-12-17,31187,208.0,-17.4694,145.7311,TOPAZ ALERT                   ,accum
2023-12-17,31191,16.0,-18.1494,145.4803,MURRAY SPRINGS ALERT          ,accum
2023-12-17,31196,8.0,-17.7047,145.1461,MT GARNET ALERT               ,accum
2023-12-17,31197,5.0,-18.0394,144.8856,UPPER RUDD CREEK ALERT        ,accum
2023-12-17,31198,79.0,-17.3769,145.3803,HERBERTON ALERT               ,accum
2023-12-17,31200,87.0,-17.5908,145.5294,RAVENSHOE ALERT               ,accum
2023-12-17,31205,415.0,-16.9794,145.6747,COPPERLODE DAM ALERT          ,accum
2023-12-17,32160,270.0,-17.6089,145.9792,CENTRAL MILL ALERT            ,accum
2023-12-17,32161,279.0,-17.5967,145.9014,CORSIS ALERT                  ,accum
2023-12-17,32162,202.0,-17.615,145.8011,CRAWFORDS LOOKOUT ALERT       ,accum
2023-12-17,32163,176.0,-17.5236,146.0325,INNISFAIL WHARF ALERT         ,accum
2023-12-17,32164,410.0,-17.6808,145.8878,MENAVALE ALERT                ,accum
2023-12-17,32165,269.0,-17.5308,145.8464,NERADA ALERT                  ,accum
2023-12-17,32166,307.0,-17.5456,145.9325,TUNG OIL ALERT                ,accum
2023-12-17,32169,13.0,-18.1919,145.3325,GLENEAGLE ALERT               ,accum
2023-12-17,32170,64.0,-18.4125,145.7722,NASH'S CROSSING ALERT         ,accum
2023-12-17,32171,100.0,-18.6347,146.1444,INGHAM PUMP STATION AL        ,accum
2023-12-17,32173,46.0,-18.6797,145.9961,PEACOCK SIDING ALERT          ,accum
2023-12-17,32174,54.0,-18.4889,145.9364,ABERGOWRIE ALERT              ,accum
2023-12-17,32176,31.0,-18.1439,145.61,KIRRAMA ALERT                 ,accum
2023-12-17,32183,38.0,-18.7497,146.115,POVERTY HILL ALERT            ,accum
2023-12-17,32184,75.0,-18.4506,145.8294,ZATTAS ALERT                  ,accum
2023-12-17,32185,81.0,-18.5789,146.2803,HALIFAX ALERT                 ,accum
2023-12-17,32186,20.0,-18.8478,145.9067,MICHAEL CREEK ALERT           ,accum
2023-12-17,528017,6.0,-14.6174,143.4527,NEW BAMBOO TM                 ,accum
2023-12-17,530036,13.0,-17.806,144.9594,UPPER POISON CREEK ALERT      ,accum
2023-12-17,531032,172.0,-17.2206,145.4469,BONES KNOB ALERT              ,accum
2023-12-17,531035,258.0,-17.0233,145.5183,EMERALD CREST ALERT           ,accum
2023-12-17,531036,361.0,-16.8419,145.4433,BILWON ALERT                  ,accum
2023-12-17,531037,434.0,-16.8911,145.5458,BOLTON ROAD ALERT             ,accum
2023-12-17,531038,568.0,-16.7319,145.5111,MONA MONA ALERT               ,accum
2023-12-17,531040,916.0,-16.8,145.6119,MYOLA ALERT                   ,accum
2023-12-17,531047,12.0,-18.0081,145.4706,YOURKA ALERT                  ,accum
2023-12-17,531048,560.0,-16.8747,145.6856,KAMERUNGA BR ALERT            ,accum
2023-12-17,531049,452.0,-16.8622,145.7419,CAIRNS AIRPORT ALERT          ,accum
2023-12-17,531051,363.0,-17.1011,145.7894,GORDONVALE ALERT              ,accum
2023-12-17,531052,376.0,-17.1336,145.7644,PEETS BRIDGE ALERT            ,accum
2023-12-17,531054,294.0,-17.1967,145.6694,BOAR POCKET ALERT             ,accum
2023-12-17,531055,143.0,-17.6247,145.5969,MAALAN ROAD ALERT             ,accum
2023-12-17,531056,97.0,-17.7772,145.565,TULLY WEIR ALERT              ,accum
2023-12-17,531057,172.0,-17.8311,145.7053,BOLINDA ESTATE ALERT          ,accum
2023-12-17,531058,88.0,-17.8328,145.6011,KOOMBOOLOOMBA ALERT           ,accum
2023-12-17,531074,313.0,-17.3247,145.9522,CLYDE RD ALERT                ,accum
2023-12-17,531075,311.0,-17.2464,145.7744,GOLDSBOROUGH VALLEY ALERT     ,accum
2023-12-17,531076,248.0,-17.1853,145.7239,THE FISHERIES ALERT           ,accum
2023-12-17,531077,286.0,-17.1706,145.6886,GILLIES LOOKOUT ALERT         ,accum
2023-12-17,531081,8.0,-17.9164,145.1503,GUNNAWARRA AL (RUDD CK)       ,accum
2023-12-17,531082,20.0,-17.8072,145.325,BEN AVON ALERT                ,accum
2023-12-17,531103,157.0,-17.3808,145.6508,GLEN ALLYN ALERT              ,accum
2023-12-17,531104,140.0,-17.7725,145.6503,TULLY GORGE ALERT             ,accum
2023-12-17,531110,580.0,-16.2497,145.3172,DAINTREE VILLAGE TM           ,accum
2023-12-17,531116,31.0,-17.5512,145.2111,EXTENDED RANGE ALERT          ,accum
2023-12-17,531117,5.0,-18.1469,145.0934,NATIVE WELLS ALERT            ,accum
2023-12-17,531118,36.0,-17.9331,145.5249,WOOROORA ALERT                ,accum
2023-12-17,531120,134.0,-17.3663,145.4317,WILD RIVER TM                 ,accum
2023-12-17,531122,143.0,-17.3725,145.5398,BROMFIELD SWAMP TM            ,accum
2023-12-17,531125,85.0,-17.4364,145.4217,WONDECLA TM                   ,accum
2023-12-17,531128,490.0,-16.8988,145.7083,GLENOMA PARK ALERT            ,accum
2023-12-17,531131,469.0,-16.9427,145.6956,MARY PARKER DRIVE AL          ,accum
2023-12-17,531133,553.0,-16.5395,145.474,CRAIGLIE TM                   ,accum
2023-12-17,531134,490.0,-16.4938,145.4609,PORT DOUGLAS TM               ,accum
2023-12-17,531135,737.0,-16.2031,145.404,DIWAN TM                      ,accum
2023-12-17,531146,576.0,-16.0555,145.3073,YANDILL                       ,accum
2023-12-17,531147,743.0,-16.4509,145.3776,MOSSMAN TREATMENT PLANT       ,accum
2023-12-17,531148,676.0,-16.3165,145.323,STEWART CREEK VALLEY          ,accum
2023-12-17,532008,55.0,-18.67,146.1539,INGHAM DEPOT ALERT            ,accum
2023-12-17,532009,225.0,-17.5261,146.0242,SWEENEY CREEK U/S ALERT       ,accum
2023-12-17,532014,221.0,-17.5122,146.0322,SALTWATER CREEK ALERT         ,accum
2023-12-17,532023,257.0,-17.5047,145.9928,MCAVOY BRIDGE ALERT           ,accum
2023-12-17,532025,228.0,-17.5806,146.0297,MOURILYAN MILL ALERT          ,accum
2023-12-17,532026,13.0,-18.9794,146.2711,PARADISE LAGOON ALERT         ,accum
2023-12-17,532027,109.0,-18.6178,146.1836,GAIRLOCH ALERT                ,accum
2023-12-17,532028,76.0,-18.5144,146.0006,ABERGOWRIE BRIDGE ALERT       ,accum
2023-12-17,532049,26.0,-19.01,146.2156,PALUMA ALERT                  ,accum
2023-12-17,532056,212.0,-17.8831,145.8428,JARRA CREEK ALERT             ,accum
2023-12-17,532057,240.0,-17.9353,145.9231,TULLY ALERT                   ,accum
2023-12-17,532058,200.0,-17.9608,145.7539,DAVIDSON CREEK ALERT          ,accum
2023-12-17,532059,196.0,-17.9922,145.9425,EURAMO ALERT                  ,accum
2023-12-17,532060,195.0,-18.0297,145.9242,MURRAY FLATS ALERT            ,accum
2023-12-17,532061,203.0,-18.1069,145.8053,UPPER MURRAY ALERT            ,accum
2023-12-17,532062,221.0,-18.1181,145.8772,BILYANA ALERT                 ,accum
2023-12-17,532063,27.0,-18.9536,146.1469,PALUMA DAM ALERT              ,accum
2023-12-17,532064,340.0,-17.8678,145.9247,BULGUN CREEK ALERT            ,accum
2023-12-17,532065,134.0,-18.2817,145.8786,MEUNGA CREEK ALERT            ,accum
2023-12-17,532067,114.0,-18.6181,146.0842,TREBONNE AL                   ,accum
2023-12-17,532074,158.0,-17.9506,146.0861,SOUTH MISSION BEACH ALERT     ,accum
2023-12-17,532087,132.0,-18.5422,146.1844,CARDWELL GAP ALERT            ,accum
2023-12-17,532091,8.0,-19.0514,146.3944,ROLLINGSTONE AL               ,accum
2023-12-17,532113,159.0,-18.2633,146.0258,CARDWELL TIDE  ALERT          ,accum
2023-12-17,532115,263.0,-17.4606,145.9922,GARRADUNGA ALERT              ,accum
2023-12-17,532126,189.0,-18.2086,145.7953,KIRRAMA RANGE ALERT           ,accum
2023-12-17,532145,69.0,-18.648,145.8744,WALLAMAN ESCARPMENT TM        ,accum
2023-12-17,532146,8.0,-18.2979,145.2725,YAMMANIE MINNAMOOLKA          ,accum
2023-12-17,532152,8.0,-18.4902,144.7974,LAVA PLAINS RD TM             ,accum
2023-12-17,532154,8.0,-19.0688,146.3858,PACE RD ROLLINGSTONE          ,accum
2023-12-17,532156,3.0,-18.4785,145.2966,WAIRUNA RD TM                 ,accum
